#,Company,Symbol,Weight,Price,Change
103,Boston Scientific Corporation,BSX,0.22745,37.48,-1.12
104,Stryker Corporation,SYK,0.226428,169.5,-1.75
105,Cigna Corporation,CI,0.225351,217.42,-0.23
106,Allergan plc,AGN,0.224938,163.38,-2.14
107,Celgene Corporation,CELG,0.221811,70.86,-3.16
108,General Dynamics Corporation,GD,0.218952,181.01,-3.49
109,BlackRock Inc.,BLK,0.216262,404.82,-9.13
110,Twenty-First Century Fox Inc. Class A,FOXA,0.215078,48.07,-0.09
111,Northrop Grumman Corporation,NOC,0.211105,277.0,-8.73
112,Illumina Inc.,ILMN,0.205058,310.1,-19.15
113,Norfolk Southern Corporation,NSC,0.202744,167.01,-3.31
114,Southern Company,SO,0.202271,46.87,0.06
115,Dominion Energy Inc,D,0.20126,73.4,1.15
116,General Motors Company,GM,0.199646,35.75,0.05
117,S&P Global Inc.,SPGI,0.199419,182.21,-4.06
118,Deere & Company,DE,0.198184,144.57,-0.24
119,Humana Inc.,HUM,0.197744,337.65,-1.3
120,Vertex Pharmaceuticals Incorporated,VRTX,0.196596,173.05,-7.5
121,Zoetis Inc. Class A,ZTS,0.195134,94.43,-0.84
122,Crown Castle International Corp,CCI,0.194865,109.2,-1.67
123,Target Corporation,TGT,0.194529,85.65,-1.29
124,Intercontinental Exchange Inc.,ICE,0.193194,77.9,-1.18
125,Micron Technology Inc.,MU,0.192179,37.02,-2.09
126,MetLife Inc.,MET,0.191509,44.86,-0.33
127,Marathon Petroleum Corporation,MPC,0.191473,65.61,-1.57
128,Bank of New York Mellon Corporation,BK,0.189948,47.98,-0.52
129,Marsh & McLennan Companies Inc.,MMC,0.188384,87.17,-0.59
130,Capital One Financial Corporation,COF,0.184246,88.5,-1.9
131,Exelon Corporation,EXC,0.184228,45.72,0.68
132,Emerson Electric Co.,EMR,0.182874,65.19,-3.3
133,Phillips 66,PSX,0.181543,97.4,-2.34
134,Progressive Corporation,PGR,0.180608,71.9,-1.29
135,Prologis Inc.,PLD,0.1801,67.76,0.19
136,Activision Blizzard Inc.,ATVI,0.178698,53.98,-1.03
137,Illinois Tool Works Inc.,ITW,0.174277,131.21,-1.35
138,Cognizant Technology Solutions Corporation Class A,CTSH,0.173495,69.55,-0.79
139,Ecolab Inc.,ECL,0.172559,158.0,-1.33
140,Prudential Financial Inc.,PRU,0.1706,94.0,-1.85
141,Aon plc,AON,0.169868,162.89,-1.65
142,HP Inc.,HPQ,0.168501,23.99,-1.01
143,BB&T Corporation,BBT,0.167104,50.54,-0.22
144,HCA Healthcare Inc,HCA,0.165501,141.91,-2.04
145,American International Group Inc.,AIG,0.165494,42.47,-1.35
146,Ross Stores Inc.,ROST,0.164887,101.77,-0.99
147,Kimberly-Clark Corporation,KMB,0.161754,110.38,0.93
148,Valero Energy Corporation,VLO,0.159252,85.9,-1.68
149,American Electric Power Company Inc.,AEP,0.157167,76.2,0.88
150,Ford Motor Company,F,0.155554,9.51,0.13
151,Delta Air Lines Inc.,DAL,0.151811,56.98,0.33
152,Waste Management Inc.,WM,0.151665,90.86,0.4
153,Fidelity National Information Services Inc.,FIS,0.150348,105.69,-1.78
154,Travelers Companies Inc.,TRV,0.149094,127.0,-4.03
155,Air Products and Chemicals Inc.,APD,0.148497,157.49,-2.41
156,Aflac Incorporated,AFL,0.147128,44.44,-0.6
157,Sherwin-Williams Company,SHW,0.144687,409.05,-5.79
158,Constellation Brands Inc. Class A,STZ,0.144619,202.5,-0.63
159,Marriott International Inc. Class A,MAR,0.143578,115.07,-1.97
160,Applied Materials Inc.,AMAT,0.14354,32.5,-1.78
161,Kraft Heinz Company,KHC,0.143093,53.67,-0.32
162,Kinder Morgan Inc Class P,KMI,0.140831,17.7,0.17
163,Fiserv Inc.,FISV,0.138116,78.49,-1.75
164,Allstate Corporation,ALL,0.137939,91.56,-2.16
165,Analog Devices Inc.,ADI,0.137636,84.2,-3.39
166,Edwards Lifesciences Corporation,EW,0.136814,147.8,-5.38
167,Sysco Corporation,SYY,0.136116,67.37,0.56
168,Sempra Energy,SRE,0.136012,115.4,-1.3
169,Eaton Corp. Plc,ETN,0.135365,72.51,-0.92
170,Johnson Controls International plc,JCI,0.134669,35.24,0.89
171,Baxter International Inc.,BAX,0.13353,61.75,-1.73
172,Estee Lauder Companies Inc. Class A,EL,0.132943,141.1,0.87
173,Dollar General Corporation,DG,0.131404,115.76,-0.34
174,Halliburton Company,HAL,0.131146,34.0,-0.98
175,Red Hat Inc.,RHT,0.131116,172.88,-0.87
176,Public Storage,PSA,0.131,207.82,1.47
177,LyondellBasell Industries NV,LYB,0.130723,95.24,-0.82
178,Williams Companies Inc.,WMB,0.13055,24.76,-0.57
179,Roper Technologies Inc.,ROP,0.129739,289.34,-7.47
180,Equinix Inc.,EQIX,0.129596,389.42,4.48
181,Anadarko Petroleum Corporation,APC,0.127067,56.27,-1.94
182,Autodesk Inc.,ADSK,0.125852,129.0,-6.55
183,SunTrust Banks Inc.,STI,0.124422,62.95,-0.58
184,Centene Corporation,CNC,0.123687,137.58,-4.73
185,Yum! Brands Inc.,YUM,0.122384,89.45,-1.27
186,O'Reilly Automotive Inc.,ORLY,0.121544,349.41,-5.33
187,eBay Inc.,EBAY,0.117445,28.94,-0.69
188,TE Connectivity Ltd.,TEL,0.117268,76.66,-2.47
189,Regeneron Pharmaceuticals Inc.,REGN,0.116883,346.59,-10.07
190,State Street Corporation,STT,0.116836,70.86,-1.39
191,V.F. Corporation,VFC,0.116778,83.61,-0.55
192,Concho Resources Inc.,CXO,0.116547,129.8,-6.72
193,Amphenol Corporation Class A,APH,0.116364,88.45,-2.69
194,Alexion Pharmaceuticals Inc.,ALXN,0.116209,118.6,-4.84
195,Corning Inc,GLW,0.115805,31.75,-1.81
196,Electronic Arts Inc.,EA,0.115572,86.71,-2.18
197,Archer-Daniels-Midland Company,ADM,0.115516,47.94,-0.32
198,Pioneer Natural Resources Company,PXD,0.115405,154.32,-5.5
199,Southwest Airlines Co.,LUV,0.115301,51.91,-0.58
200,Public Service Enterprise Group Inc,PEG,0.115153,53.78,-0.01
201,General Mills Inc.,GIS,0.113775,45.75,0.44
202,McKesson Corporation,MCK,0.111177,130.47,-0.34
203,PPG Industries Inc.,PPG,0.111034,105.4,-2.31
204,ONEOK Inc.,OKE,0.109883,62.39,-0.7
205,Welltower Inc.,WELL,0.109502,69.8,0.32
206,Moody's Corporation,MCO,0.108579,150.07,-3.43
207,Xcel Energy Inc.,XEL,0.108529,50.86,0.52
208,Ingersoll-Rand Plc,IR,0.107494,101.0,-1.86
209,AvalonBay Communities Inc.,AVB,0.106401,184.25,1.72
210,Kroger Co.,KR,0.106305,31.49,0.1
211,Equity Residential,EQR,0.105282,68.03,0.55
212,Twitter Inc.,TWTR,0.104631,31.8,-2.28
213,Consolidated Edison Inc.,ED,0.104007,79.37,0.37
214,Discover Financial Services,DFS,0.103001,69.12,-1.44
215,M&T Bank Corporation,MTB,0.101994,165.13,-1.59
216,T. Rowe Price Group,TROW,0.101699,95.6,-2.88
217,Zimmer Biomet Holdings Inc.,ZBH,0.100776,114.44,-3.18
218,Carnival Corporation,CCL,0.100709,57.78,-0.76
219,Lam Research Corporation,LRCX,0.099235,142.5,-5.35
220,Twenty-First Century Fox Inc. Class B,FOX,0.099106,47.59,-0.12
221,Hewlett Packard Enterprise Co.,HPE,0.098539,15.28,-0.44
222,Fortive Corp.,FTV,0.097751,74.96,-0.26
223,Digital Realty Trust Inc.,DLR,0.096517,112.28,1.66
224,Monster Beverage Corporation,MNST,0.096312,54.68,-2.16
225,Parker-Hannifin Corporation,PH,0.09428,165.05,-2.28
226,PPL Corporation,PPL,0.093863,31.4,-0.29
227,WEC Energy Group Inc,WEC,0.093591,70.85,0.85
228,Paychex Inc.,PAYX,0.093506,67.96,-1.06
229,Northern Trust Corporation,NTRS,0.09322,96.37,-1.57
230,Rockwell Collins Inc.,COL,0.092192,130.25,-2.97
231,Xilinx Inc.,XLNX,0.092064,82.33,-3.31
232,Cummins Inc.,CMI,0.091555,144.36,1.29
233,Agilent Technologies Inc.,A,0.090984,64.5,-2.77
234,DTE Energy Company,DTE,0.090834,119.05,0.91
235,Ventas Inc.,VTR,0.090696,60.24,0.17
236,Hilton Worldwide Holdings Inc,HLT,0.090462,70.19,-0.97
237,NetApp Inc.,NTAP,0.09018,78.87,-2.79
238,United Continental Holdings Inc.,UAL,0.090079,91.08,-1.27
239,AutoZone Inc.,AZO,0.089655,792.6,-1.27
240,Motorola Solutions Inc.,MSI,0.089056,126.99,-2.66
241,Willis Towers Watson Public Limited Company,WLTW,0.088901,158.51,-1.42
242,Rockwell Automation Inc.,ROK,0.088624,165.97,-3.3
243,Eversource Energy,ES,0.087463,65.48,0.34
244,PG&E Corporation,PCG,0.087355,33.43,-6.49
245,Dollar Tree Inc.,DLTR,0.087021,85.99,-0.39
246,PACCAR Inc,PCAR,0.086998,58.38,0.02
247,Clorox Company,CLX,0.086741,162.1,3.33
248,Verisk Analytics Inc,VRSK,0.086637,122.25,-1.13
249,Weyerhaeuser Company,WY,0.086051,27.0,0.17
250,Aptiv PLC,APTV,0.085382,74.5,-1.12
251,IQVIA Holdings Inc,IQV,0.08513,121.12,-3.05
252,Nucor Corporation,NUE,0.084619,62.16,-0.62
253,KeyCorp,KEY,0.084541,18.5,-0.39
254,Edison International,EIX,0.084222,54.34,-6.66
255,SBA Communications Corp. Class A,SBAC,0.08371,171.83,0.32
256,CBS Corporation Class B,CBS,0.082887,57.35,-0.2
257,Stanley Black & Decker Inc.,SWK,0.082228,122.12,-3.62
258,Boston Properties Inc.,BXP,0.081269,124.44,0.18
259,Regions Financial Corporation,RF,0.080863,16.93,-0.31
260,IHS Markit Ltd.,INFO,0.080816,51.35,-1.56
261,Cerner Corporation,CERN,0.080735,56.76,-0.81
262,International Paper Company,IP,0.080402,45.62,-0.6
263,Mylan N.V.,MYL,0.080258,35.94,-1.01
264,Synchrony Financial,SYF,0.080161,27.7,0.08
265,Fifth Third Bancorp,FITB,0.079361,27.64,-0.32
266,FirstEnergy Corp.,FE,0.078744,38.79,0.79
267,Tyson Foods Inc. Class A,TSN,0.078289,61.4,-0.68
268,Realty Income Corporation,O,0.077576,62.35,-0.41
269,ABIOMED Inc.,ABMD,0.077501,333.0,-72.17
270,Royal Caribbean Cruises Ltd.,RCL,0.077359,104.67,-2.5
271,Citizens Financial Group Inc.,CFG,0.077169,37.62,-0.44
272,Ameriprise Financial Inc.,AMP,0.076982,125.06,-2.6
273,Harris Corporation,HRS,0.076946,148.7,-4.44
274,Advanced Micro Devices Inc.,AMD,0.076896,18.95,-2.08
275,McCormick & Company Incorporated,MKC,0.076877,149.23,-1.17
276,CenturyLink Inc.,CTL,0.076565,19.2,0.29
277,IDEXX Laboratories Inc.,IDXX,0.076369,198.82,-8.35
278,Global Payments Inc.,GPN,0.075845,109.23,-2.94
279,FleetCor Technologies Inc.,FLT,0.075142,193.69,-6.13
280,Ulta Beauty Inc,ULTA,0.07443,308.5,0.38
281,DXC Technology Co.,DXC,0.074164,61.75,-0.25
282,Laboratory Corporation of America Holdings,LH,0.073763,167.5,-2.65
283,TransDigm Group Incorporated,TDG,0.073647,343.13,-14.33
284,Align Technology Inc.,ALGN,0.073504,217.3,-18.66
285,VeriSign Inc.,VRSN,0.073266,153.3,-6.8
286,Cardinal Health Inc.,CAH,0.073134,55.86,0.55
287,AMETEK Inc.,AME,0.073045,72.74,-1.71
288,Newmont Mining Corporation,NEM,0.07238,31.53,-0.49
289,Omnicom Group Inc,OMC,0.072137,75.7,0.13
290,Microchip Technology Incorporated,MCHP,0.071826,69.67,-2.46
291,Devon Energy Corporation,DVN,0.071542,31.8,-1.21
292,Ball Corporation,BLL,0.071513,48.29,-0.39
293,Essex Property Trust Inc.,ESS,0.071058,254.7,0.77
294,Hartford Financial Services Group Inc.,HIG,0.070698,45.51,-1.08
295,Best Buy Co. Inc.,BBY,0.070475,67.4,-0.39
296,Kellogg Company,K,0.070119,64.36,-0.65
297,Freeport-McMoRan Inc.,FCX,0.070118,11.16,-0.19
298,Ameren Corporation,AEE,0.069495,68.39,1.07
299,Republic Services Inc.,RSG,0.0694,74.68,-0.06
300,Conagra Brands Inc.,CAG,0.068784,35.25,0.86
301,Huntington Bancshares Incorporated,HBAN,0.068202,14.57,-0.1
302,Church & Dwight Co. Inc.,CHD,0.067955,66.8,1.25
303,American Water Works Company Inc.,AWK,0.067583,91.94,2.33
304,Evergy Inc.,EVRG,0.067064,59.31,0.96
305,Fastenal Company,FAST,0.066742,54.12,-0.64
306,Total System Services Inc.,TSS,0.06577,90.6,-1.37
307,Cintas Corporation,CTAS,0.065637,176.83,-2.39
308,Entergy Corporation,ETR,0.06555,85.91,0.35
309,Waters Corporation,WAT,0.065351,195.71,-3.73
310,Mettler-Toledo International Inc.,MTD,0.065166,595.42,-12.61
311,L3 Technologies Inc,LLL,0.064977,189.0,-6.38
312,ResMed Inc.,RMD,0.06453,103.74,-3.2
313,Marathon Oil Corporation,MRO,0.064489,17.3,-0.54
314,Hershey Company,HSY,0.063994,108.67,0.09
315,Hess Corporation,HES,0.06342,57.46,-1.69
316,American Airlines Group Inc.,AAL,0.063158,36.75,0.53
317,Expedia Group Inc.,EXPE,0.062686,122.25,-1.79
318,KLA-Tencor Corporation,KLAC,0.062552,92.29,-2.99
