#,Company,Symbol,Weight,Price,Change
445,Qorvo Inc.,QRVO,0.036175,63.8,-4.35
446,Western Union Company,WU,0.035811,18.56,-0.26
447,L Brands Inc.,LB,0.035483,37.0,0.5
448,Allegion PLC,ALLE,0.03546,88.59,-0.8
449,Unum Group,UNM,0.035057,37.02,-0.69
450,SL Green Realty Corp.,SLG,0.034962,94.65,-0.36
451,Brown-Forman Corporation Class B,BF.B,0.034954,48.28,-0.64
452,BorgWarner Inc.,BWA,0.034539,37.9,-0.89
453,Alaska Air Group Inc.,ALK,0.034452,65.76,-0.21
454,Perrigo Co. Plc,PRGO,0.034286,65.58,1.51
455,DENTSPLY SIRONA Inc.,XRAY,0.034112,36.54,0.48
456,Garmin Ltd.,GRMN,0.034065,65.0,-1.11
457,Avery Dennison Corporation,AVY,0.033958,91.45,-0.55
458,Mohawk Industries Inc.,MHK,0.033765,121.53,-4.12
459,Robert Half International Inc.,RHI,0.032709,62.76,-0.08
460,Nordstrom Inc.,JWN,0.031924,64.3,-1.16
461,Whirlpool Corporation,WHR,0.031599,115.37,-0.99
462,Campbell Soup Company,CPB,0.031564,39.89,0.92
463,DISH Network Corporation Class A,DISH,0.030781,31.64,-0.09
464,Apartment Investment and Management Company Class A,AIV,0.030428,45.85,0.21
465,Michael Kors Holdings Ltd,KORS,0.030347,47.92,0.14
466,Pentair plc,PNR,0.029714,41.84,-0.69
467,Ralph Lauren Corporation Class A,RL,0.029677,121.03,-2.9
468,Kimco Realty Corporation,KIM,0.029314,16.14,-0.14
469,Helmerich & Payne Inc.,HP,0.028879,60.54,-2.05
470,Harley-Davidson Inc.,HOG,0.028836,40.78,0.05
471,FLIR Systems Inc.,FLIR,0.028136,47.2,-1.2
472,A. O. Smith Corporation,AOS,0.02808,45.71,-0.05
473,Flowserve Corporation,FLS,0.027841,49.27,-0.95
474,Fluor Corporation,FLR,0.027757,45.02,-1.58
475,TripAdvisor Inc.,TRIP,0.02758,62.69,-0.61
476,PulteGroup Inc.,PHM,0.027169,24.01,-0.43
477,Jefferies Financial Group Inc.,JEF,0.027108,21.37,-0.62
478,Xerox Corporation,XRX,0.026893,27.55,-0.88
479,Fortune Brands Home & Security Inc.,FBHS,0.026328,42.82,-0.67
480,Affiliated Managers Group Inc.,AMG,0.026176,112.55,-2.69
481,Hanesbrands Inc.,HBI,0.025973,16.21,-0.35
482,Rollins Inc.,ROL,0.025736,60.37,-1.0
483,Gap Inc.,GPS,0.025606,27.41,-0.07
484,Nektar Therapeutics,NKTR,0.025013,36.99,2.97
485,Foot Locker Inc.,FL,0.024966,50.8,0.56
486,H&R Block Inc.,HRB,0.024936,28.39,-0.34
487,Sealed Air Corporation,SEE,0.023716,34.95,-0.15
488,SCANA Corporation,SCG,0.023704,40.63,0.45
489,Assurant Inc.,AIZ,0.02353,103.73,-1.05
490,Macerich Company,MAC,0.02332,51.0,-0.12
491,News Corporation Class A,NWSA,0.023128,13.69,-0.55
492,People's United Financial Inc.,PBCT,0.023108,15.67,-0.03
493,Goodyear Tire & Rubber Company,GT,0.022156,22.05,0.06
494,Quanta Services Inc.,PWR,0.021817,33.63,-1.21
495,Discovery Inc. Class A,DISCA,0.021806,32.41,-0.57
496,IPG Photonics Corporation,IPGP,0.021114,129.11,-8.68
497,Brighthouse Financial Inc.,BHF,0.021092,41.03,-0.54
498,Leggett & Platt Incorporated,LEG,0.021041,36.76,-0.81
499,Mattel Inc.,MAT,0.01975,13.54,-0.01
500,Newfield Exploration Company,NFX,0.018475,20.75,-1.08
501,Under Armour Inc. Class A,UAA,0.017925,22.4,-0.35
502,Stericycle Inc.,SRCL,0.017278,47.05,-0.61
503,Under Armour Inc. Class C,UA,0.016548,20.73,-0.01
504,Coty Inc. Class A,COTY,0.016272,8.65,0.16
505,News Corporation Class B,NWS,0.007005,13.89,-0.51
